"id","boost","city_id","classify","column_id","create_time","focus_img","level","origin","pub_time","sens","similarity_label","site_classify","site_id","source","title","url","province","date","nature","score","seq","word"
"100675","4","258","社会","4518","8/10/2019 13:54:28",,"2","网易号","30/9/2019 17:12:00","50","11096","40","184","潦河镇扶贫办","卧龙区潦河镇：召开国庆期间廉政恳谈会","https://c.m.163.com/news/a/EQBBEL4I05348CQV.html","16",,,"0","0",
"100676","4","258","军事","4518","8/10/2019 13:54:28",,"2","网易号","16/9/2019 15:20:00","50","3111","40","184","潦河镇扶贫办","迎中秋 送祝福 关爱贫困户","https://c.m.163.com/news/a/EP73GLAS05348CQV.html","16",,,"0","0",
"100677","4","258","军事","4518","8/10/2019 13:54:23",,"2","网易号","23/8/2019 12:24:00","50","364","40","184","潦河镇扶贫办","卧龙区潦河镇：召开潦河镇脱贫攻坚工作调研问题反馈会","https://c.m.163.com/news/a/EN8VRTLG05348CQV.html","16",,,"0","0",
"100678","4","258","社会","4518","8/10/2019 13:54:28",,"2","网易号","27/9/2019 09:30:00","50","393","40","184","潦河镇扶贫办","潦河镇大陈营村召开“不忘初心、牢记使命”主题教育学习会议","https://c.m.163.com/news/a/EQ2PRAQG05348CQV.html","16",,,"0","0",
"100679","4","258","军事","4518","8/10/2019 13:54:28",,"2","网易号","27/9/2019 09:33:00","50","11098","40","184","潦河镇扶贫办","驻村帮扶办实事 村民感谢送锦旗","https://c.m.163.com/news/a/EQ2PVPNC05348CQV.html","16",,,"0","0",
"100680","4","258","社会","4518","8/10/2019 13:54:23",,"2","网易号","16/9/2019 10:43:00","8","11105","40","184","潦河镇扶贫办","过好“我们的节日?中秋节” 情暖贫困群众心","https://c.m.163.com/news/a/EP6JKFFA05348CQV.html","16",,,"0","0",
"100681","4","258","军事","4518","8/10/2019 13:54:29",,"2","网易号","30/9/2019 17:13:00","50","11104","40","184","潦河镇扶贫办","潦河镇袁营村扶贫路上新变化","https://c.m.163.com/news/a/EQBBH3RA05348CQV.html","16",,,"0","0",
"100682","4","258","军事","4518","8/10/2019 13:54:29",,"2","网易号","8/10/2019 09:34:00","50","11099","40","184","潦河镇扶贫办","卧龙区潦河镇：510位老人齐聚一堂共赴饺子宴庆祝重阳节","https://c.m.163.com/news/a/EQV4EB8V05348CQV.html","16",,,"0","0",
"100683","4","258","军事","4518","8/10/2019 13:54:28",,"2","网易号","27/9/2019 17:22:00","50","11101","40","184","潦河镇扶贫办","潦河镇吴集村召开“不忘初心、牢记使命”主题教育集中学习会议","https://c.m.163.com/news/a/EQ3KR4IH05348CQV.html","16",,,"0","0",
"100684","4","258","社会","4518","8/10/2019 13:54:28",,"2","网易号","4/9/2019 17:15:00","50","2147","40","184","潦河镇扶贫办","卧龙区潦河镇：召开潦河镇“以案促改”警示教育大会","https://c.m.163.com/news/a/EO8D959005348CQV.html","16",,,"0","0",
"100685","4","258","军事","4518","8/10/2019 13:54:28",,"2","网易号","30/9/2019 17:12:00","9","2624","40","184","潦河镇扶贫办","卧龙区潦河镇：召开潦河镇脱贫攻坚近期重点工作推进会议","https://c.m.163.com/news/a/EQBBF6G105348CQV.html","16",,,"0","0",
"100686","4","258","社会","4518","8/10/2019 13:54:23",,"2","网易号","8/10/2019 11:48:00","50","11095","40","184","潦河镇扶贫办","卧龙区潦河镇：家庭农场铺就扶贫新路","https://c.m.163.com/news/a/EQVC3LSB05348CQV.html","16",,,"0","0",
"100687","4","258","军事","4518","8/10/2019 13:54:29",,"2","网易号","8/10/2019 09:33:00","48","11097","40","184","潦河镇扶贫办","卧龙区潦河镇：举办第二届“颂党恩 传德孝 敬老文化节”活动","https://c.m.163.com/news/a/EQV4COL305348CQV.html","16",,,"0","0",
"100688","4","258","军事","4518","8/10/2019 13:54:28",,"2","网易号","30/9/2019 17:13:00","46","1559","40","184","潦河镇扶贫办","卧龙区潦河镇：开展“不忘初心，牢记使命”主题教育党课","https://c.m.163.com/news/a/EQBBGD4G05348CQV.html","16",,,"0","0",
"100689","4","258","军事","4518","8/10/2019 13:54:29",,"2","网易号","8/10/2019 11:30:00","50","11099","40","184","潦河镇扶贫办","卧龙区潦河镇：510位老人吃饺子过重阳引得老外来捧场","https://c.m.163.com/news/a/EQVB25LA05348CQV.html","16",,,"0","0",
"100690","4","258","社会","4518","8/10/2019 13:54:29",,"2","网易号","27/9/2019 17:23:00","50","11099","40","184","潦河镇扶贫办","潦河镇袁营村“幸福大院”竣工","https://c.m.163.com/news/a/EQ3KTE0I05348CQV.html","16",,,"0","0",
"100691","4","258","社会","4518","8/10/2019 13:54:28",,"2","网易号","4/9/2019 18:31:00","50","11106","40","184","潦河镇扶贫办","卧龙区潦河镇：召开潦河镇秋季秸秆禁烧工作动员会","https://c.m.163.com/news/a/EO8HLNDH05348CQV.html","16",,,"0","0",
"100692","4","258","军事","4518","8/10/2019 13:54:28",,"2","网易号","4/9/2019 17:02:00","50","2624","40","184","潦河镇扶贫办","卧龙区潦河镇：召开“千企帮千村”暨脱贫攻坚重点工作推进会","https://c.m.163.com/news/a/EO8CHP8105348CQV.html","16",,,"0","0",
